rho,vt_mean,pt_mean,cohens_d,cliffs_delta,label
0.3,56.40650000000001,56.2885,0.2544,0.2275,small
0.5,58.032999999999994,58.695499999999996,-0.3028,-0.1425,negligible
0.6,60.3325,69.322,-0.3157,-0.185,small
0.65,60.43399999999999,63.26649999999999,-0.5451,-0.44,medium
0.7,61.044500000000006,62.866499999999995,-1.1996,-0.62,large
0.75,62.465999999999994,753.1610000000001,-0.3226,-0.5475,large
0.8,66.24799999999999,65.74,0.1594,-0.13,negligible
0.85,82.15350000000001,67.21400000000001,1.3316,0.72,large
0.95,161.03199999999998,90.10650000000001,1.1113,0.79,large
