Pool_Size,Phase,Mean_Throughput,Std_Throughput,Mean_Arrival_Rate_RPS,Mean_P99_ms,Std_P99_ms,CI95_P99_ms,Mean_Latency_ms,Std_Latency_ms,CI95_Latency_ms,Mean_Heap_MB,Std_Heap_MB,CI95_Heap_MB,Mean_Threads,Est_NQueue
10,TRAINING,1617.91,418.06,738902.23,25952.52,10199.67,8161.44,14130.71,5013.30,4011.48,2144.83,413.33,330.74,41.0,9995.34
25,TRAINING,1769.47,408.73,1133329.67,23621.29,9680.91,7746.34,13108.93,6147.01,4918.64,2213.83,159.29,127.46,41.3,9993.05
50,TRAINING,1901.84,461.18,788267.19,21606.02,9895.84,7918.32,11228.33,3267.39,2614.46,1718.67,215.47,172.41,41.0,9990.46
100,TEST,2303.25,55.65,1190399.11,15723.84,406.84,325.54,8814.08,215.77,172.66,2377.33,106.37,85.11,41.0,9986.80
200,TEST,2148.15,514.21,554471.03,18669.60,8070.85,6458.02,10465.16,4713.72,3771.77,1969.50,222.07,177.69,41.0,9981.61
