Pool_Size,Model_rho,Model_P_wait,Model_Region,Model_Mean_Latency_ms,Measured_Mean_Latency_ms,CI95_Latency_ms,Latency_Error_Pct,Measured_P99_ms,CI95_P99_ms,Model_Heap_MB,Measured_Heap_MB,CI95_Heap_MB,Heap_Error_Pct,Validation_Pass
10,0.9999,0.9996,Resource-Exhaustion,104713.53,14130.71,±4011.48,641.0%,25952.52,±8161.44,2104.04,2144.83,±330.74,1.9%,FAIL
200,0.9999,0.9983,Resource-Exhaustion,5327.91,10465.16,±3771.77,49.1%,18669.60,±6458.02,2102.10,1969.50,±177.69,6.7%,FAIL
