Pool_Size,Phase,Mean_Throughput,Std_Throughput,Mean_Arrival_Rate_RPS,Mean_P99_ms,Std_P99_ms,CI95_P99_ms,Mean_Latency_ms,Std_Latency_ms,CI95_Latency_ms,Mean_Heap_MB,Std_Heap_MB,CI95_Heap_MB,Mean_Threads,Est_NQueue
10,TRAINING,1947.65,123.83,516717.65,18995.18,1422.06,1137.89,10629.02,895.28,716.38,1107.17,125.24,100.21,37.0,9995.34
25,TRAINING,1444.52,1021.33,360546.68,109401.45,130757.62,104627.89,83410.56,105414.65,84349.28,1184.00,205.36,164.32,38.5,9993.05
