Pool_Size,Phase,Mean_Throughput,Std_Throughput,Mean_Arrival_Rate_RPS,Mean_P99_ms,Std_P99_ms,CI95_P99_ms,Mean_Latency_ms,Std_Latency_ms,CI95_Latency_ms,Mean_Heap_MB,Std_Heap_MB,CI95_Heap_MB,Mean_Threads,Est_NQueue
10,TRAINING,2621.94,50.72,511744.12,13750.27,314.84,251.93,7842.94,221.83,177.50,792.50,119.29,95.46,37.0,9995.34
25,TRAINING,2471.04,373.15,385890.96,14908.82,2579.96,2064.40,8430.32,1475.91,1180.97,791.67,119.24,95.41,37.0,9993.05
50,TRAINING,2931.24,111.47,450539.82,12041.58,610.38,488.41,6950.44,402.16,321.80,1106.00,146.03,116.85,36.5,9990.46
100,TEST,3093.98,90.17,443203.40,11164.69,384.56,307.72,6506.95,153.76,123.03,1112.67,234.99,188.03,36.7,9986.80
200,TEST,3134.08,51.22,485449.81,11086.19,179.11,143.32,6402.78,111.95,89.58,962.83,144.98,116.01,37.0,9981.61
