Pool_Size,Phase,Mean_Throughput,Std_Throughput,Mean_Arrival_Rate_RPS,Mean_P99_ms,Std_P99_ms,CI95_P99_ms,Mean_Latency_ms,Std_Latency_ms,CI95_Latency_ms,Mean_Heap_MB,Std_Heap_MB,CI95_Heap_MB,Mean_Threads,Est_NQueue
10,TRAINING,2021.13,45.16,466127.91,18207.76,391.52,313.28,10207.52,229.99,184.03,1197.33,134.72,107.80,37.0,9995.34
25,TRAINING,2053.22,75.34,491413.17,17780.18,732.80,586.36,10069.21,549.36,439.58,1098.00,141.16,112.95,37.0,9993.05
50,TRAINING,2264.23,60.75,396937.67,15937.20,410.28,328.30,8949.20,176.46,141.19,1138.17,96.36,77.11,36.0,9990.46
100,TEST,2415.64,22.56,433012.07,14565.99,315.06,252.10,8296.24,149.01,119.23,1049.17,163.56,130.88,36.5,9986.80
200,TEST,2421.72,74.56,584980.86,14257.86,622.82,498.36,8216.78,278.83,223.11,1087.33,144.74,115.81,36.0,9981.61
