Pool_Size,Model_rho,Model_P_wait,Model_Region,Model_Mean_Latency_ms,Measured_Mean_Latency_ms,CI95_Latency_ms,Latency_Error_Pct,Measured_P99_ms,CI95_P99_ms,Model_Heap_MB,Measured_Heap_MB,CI95_Heap_MB,Heap_Error_Pct,Validation_Pass
10,0.9999,0.9996,Resource-Exhaustion,257062.03,7842.94,±177.50,3177.6%,13750.27,±251.93,1003.97,792.50,±95.46,26.7%,FAIL
200,0.9999,0.9983,Resource-Exhaustion,13079.52,6402.78,±89.58,104.3%,11086.19,±143.32,1002.67,962.83,±116.01,4.1%,FAIL
