Pool_Size,Model_rho,Model_P_wait,Model_Region,Model_Mean_Latency_ms,Measured_Mean_Latency_ms,CI95_Latency_ms,Latency_Error_Pct,Measured_P99_ms,CI95_P99_ms,Model_Heap_MB,Measured_Heap_MB,CI95_Heap_MB,Heap_Error_Pct,Validation_Pass
10,0.9999,0.9996,Resource-Exhaustion,247469.64,10207.52,±184.03,2324.4%,18207.76,±313.28,1095.65,1197.33,±107.80,8.5%,FAIL
200,0.9999,0.9983,Resource-Exhaustion,12591.45,8216.78,±223.11,53.2%,14257.86,±498.36,1094.22,1087.33,±115.81,0.6%,FAIL
